iter	Passed	Remaining
204	45351	65261
205	45621	65109
206	45842	64888
207	46081	64691
208	46452	64678
209	46692	64480
210	46916	64260
211	47153	64057
212	47391	63856
213	47671	63710
214	47891	63484
215	48162	63324
216	48432	63162
217	48656	62941
218	48953	62812
219	49254	62686
220	49507	62500
221	49730	62275
222	49947	62042
223	50213	61870
224	50473	61689
225	50714	61485
226	50871	61180
227	51133	61001
228	51376	60799
229	51640	60621
230	51870	60402
231	52118	60205
232	52368	60010
233	52600	59793
234	52880	59631
235	53117	59420
236	53355	59208
237	53531	58929
238	53700	58643
239	53945	58441
240	54115	58157
241	54298	57888
242	54580	57724
243	54774	57467
244	54947	57189
245	55193	56988
246	55489	56837
247	55717	56615
248	55967	56416
249	56175	56175
250	56373	55924
251	56536	55638
252	56778	55432
253	57006	55210
254	57217	54973
255	57482	54787
256	57733	54588
257	57971	54375
258	58239	54191
259	58472	53974
260	58723	53773
261	58990	53587
262	59286	53425
263	59556	53239
264	59840	53065
265	60108	52877
266	60380	52691
267	60646	52499
268	60841	52247
269	61036	51994
270	61251	51758
271	61545	51590
272	61763	51356
273	62019	51154
274	62275	50952
275	62432	50669
276	62630	50420
277	62807	50155
278	63031	49928
279	63309	49743
280	63574	49547
281	63826	49341
282	64072	49130
283	64355	48946
284	64617	48746
285	64802	48488
286	65012	48249
287	65253	48033
288	65529	47843
289	65759	47619
290	65955	47370
291	66191	47150
292	66463	46955
293	66707	46740
294	66960	46531
295	67138	46270
296	67358	46039
297	67610	45829
298	67898	45644
299	68146	45430
300	68381	45208
301	68622	44990
302	68954	44831
303	69137	44575
304	69388	44363
305	69595	44122
306	69853	43914
307	70069	43679
308	70283	43443
309	70514	43218
310	70702	42967
311	71011	42788
312	71246	42566
313	71511	42360
314	71831	42186
315	72054	41955
316	72286	41730
317	72574	41536
318	72733	41268
319	72979	41050
320	73125	40777
321	73401	40575
322	73670	40370
323	73972	40182
324	74188	39947
325	74531	39780
326	74814	39580
327	75072	39367
328	75362	39170
329	75647	38969
330	76067	38838
331	76564	38743
332	77298	38765
333	77891	38712
334	78552	38689
335	78740	38432
336	78964	38193
337	79209	37964
338	79421	37719
339	79649	37482
340	79873	37243
341	80174	37039
342	80423	36811
343	80657	36577
344	80902	36347
345	81117	36104
346	81407	35894
347	81632	35655
348	81817	35399
349	82117	35193
350	82411	34983
351	82706	34774
352	82933	34536
353	83213	34319
354	83482	34098
355	83769	33884
356	84015	33653
357	84257	33420
358	84461	33173
359	84718	32946
360	84897	32689
361	85215	32485
362	85454	32251
363	85761	32042
364	85948	31789
365	86170	31548
366	86511	31351
367	86797	31133
368	87077	30913
369	87294	30671
370	87561	30445
371	87783	30205
372	88015	29967
373	88256	29733
374	88465	29488
375	88669	29242
376	88961	29024
377	89202	28790
378	89466	28563
379	89680	28320
380	89992	28107
381	90264	27882
382	90448	27630
383	90651	27384
384	90942	27164
385	91209	26937
386	91404	26689
387	91602	26442
388	91916	26227
389	92179	25999
390	92393	25756
391	92604	25513
392	92919	25298
393	93131	25055
394	93387	24824
395	93633	24590
396	93875	24355
397	94101	24116
398	94303	23871
399	94560	23640
400	94876	23423
401	95106	23185
402	95316	22942
403	95547	22704
404	95817	22475
405	96066	22241
406	96291	22002
407	96533	21767
408	96792	21535
409	97066	21307
410	97264	21062
411	97558	20837
412	97832	20608
413	98036	20365
414	98287	20131
415	98596	19908
416	98899	19684
417	99099	19440
418	99350	19206
419	99580	18967
420	99806	18728
421	100057	18494
422	100351	18267
423	100566	18026
424	100823	17792
425	101073	17557
426	101258	17311
427	101514	17077
428	101753	16840
429	102048	16612
430	102299	16377
431	102556	16143
432	102761	15900
433	103025	15667
434	103245	15427
435	103489	15191
436	103680	14947
437	103950	14714
438	104237	14484
439	104496	14249
440	104783	14018
441	105059	13786
442	105265	13544
443	105450	13300
444	105729	13067
445	106028	12837
446	106325	12606
447	106576	12370
448	106770	12127
449	107052	11894
450	107275	11655
451	107586	11425
452	107927	11197
453	108164	10959
454	108399	10720
455	108653	10484
456	108878	10244
457	109179	10012
458	109453	9776
459	109698	9539
460	109988	9304
461	110253	9068
462	110581	8836
463	110853	8600
464	111105	8362
465	111455	8131
466	111798	7900
467	111985	7657
468	112261	7420
469	112520	7182
470	112823	6946
471	113163	6713
472	113489	6478
473	113821	6243
474	114126	6006
475	114404	5768
476	114748	5532
477	115025	5294
478	115329	5056
479	115537	4814
480	115734	4571
481	116015	4332
482	116323	4094
483	116545	3852
484	116777	3611
485	117006	3370
486	117318	3131
487	117622	2892
488	117891	2651
489	118222	2412
490	118464	2171
491	118773	1931
492	119064	1690
493	119243	1448
494	119455	1206
495	119660	965
496	120002	724
497	120283	483
498	120586	241
499	120856	0
