iter	Logloss
298	0.2600062471
299	0.2596703793
300	0.2593243407
301	0.2590649673
302	0.2585947385
303	0.2584353726
304	0.2581332487
305	0.2578823538
306	0.2576143999
307	0.257410154
308	0.2572407804
309	0.2569674608
310	0.2567654976
311	0.256366675
312	0.2560685671
313	0.255794354
314	0.2554133799
315	0.2552282218
316	0.255057239
317	0.2547133956
318	0.2545690053
319	0.2542372832
320	0.2540833617
321	0.2537596912
322	0.2534496971
323	0.2531200148
324	0.2529020649
325	0.2525967628
326	0.2524141802
327	0.2521739283
328	0.2519081475
329	0.2516727424
330	0.2515507646
331	0.2514038791
332	0.2511105467
333	0.2509249074
334	0.2506416049
335	0.2504369103
336	0.2502310874
337	0.2499455666
338	0.2497076943
339	0.2494627511
340	0.2492619977
341	0.2489782308
342	0.2487733129
343	0.2485781684
344	0.2482436571
345	0.2480783501
346	0.2477490295
347	0.2474759259
348	0.247341186
349	0.247042168
350	0.2468741613
351	0.2466227323
352	0.2464470307
353	0.2462067413
354	0.2459191367
355	0.2456017159
356	0.2453310813
357	0.2450493246
358	0.2448944402
359	0.2446266438
360	0.2444300069
361	0.2441542893
362	0.243958812
363	0.2436614996
364	0.2435338109
365	0.2433562859
366	0.2430099223
367	0.2427533628
368	0.2424668138
369	0.2422881163
370	0.2420685266
371	0.2419574098
372	0.241728619
373	0.2414601033
374	0.2413224002
375	0.2411326712
376	0.2408438112
377	0.2406551713
378	0.2404442894
379	0.240316853
380	0.2400475524
381	0.2398168302
382	0.239698727
383	0.2395201232
384	0.2392271241
385	0.2389859397
386	0.2388616992
387	0.2386737162
388	0.2384226176
389	0.2382111056
390	0.2380049287
391	0.237820518
392	0.2374677516
393	0.2372811781
394	0.2371275348
395	0.2368851122
396	0.2366668063
397	0.2364544823
398	0.2362573932
399	0.2360237748
400	0.2357083963
401	0.2354678832
402	0.2353062936
403	0.2351089844
404	0.2348763585
405	0.234681011
406	0.2344853769
407	0.234286492
408	0.2341111634
409	0.2338545479
410	0.2337601353
411	0.2335170975
412	0.2333088078
413	0.2331720569
414	0.2329492119
415	0.232653532
416	0.2324111696
417	0.2322207357
418	0.2320192366
419	0.2318269912
420	0.2317003732
421	0.2315256149
422	0.2313229458
423	0.2311443619
424	0.230950816
425	0.2307720173
426	0.2306383473
427	0.2304837912
428	0.2303123695
429	0.2300854724
430	0.2299327315
431	0.2297771113
432	0.2296046248
433	0.2294226659
434	0.2292429203
435	0.2290677277
436	0.2289097806
437	0.2286551078
438	0.2284157422
439	0.2282257403
440	0.2279814231
441	0.2277234882
442	0.2275727523
443	0.2274410908
444	0.227169486
445	0.2268239337
446	0.2265473286
447	0.2263679239
448	0.2262370421
449	0.2259472251
450	0.2257862131
451	0.2255450692
452	0.2252541702
453	0.2250751901
454	0.2248749033
455	0.2247402022
456	0.2245838615
457	0.2243413024
458	0.2241814688
459	0.2240582207
460	0.2238856912
461	0.2236549153
462	0.2234130604
463	0.2232367748
464	0.223092838
465	0.2227781854
466	0.222510445
467	0.2224064441
468	0.2222204191
469	0.2220434081
470	0.2218413993
471	0.2215738266
472	0.2213596896
473	0.2211503266
474	0.2209733827
475	0.2207589631
476	0.220490233
477	0.2202640564
478	0.2201112573
479	0.2199698763
480	0.219818537
481	0.2196211143
482	0.2194184124
483	0.2192804969
484	0.2191734594
485	0.2190021408
486	0.2187911174
487	0.2185602886
488	0.2183976744
489	0.2181894715
490	0.2180600313
491	0.2178594994
492	0.2176729769
493	0.217564025
494	0.2174583902
495	0.217367864
496	0.2171794009
497	0.2169894251
498	0.2168230531
499	0.2166952522
